Epic,ID,Title,Description,Acceptance Criteria,Depends On,Test Ref
"Epic 1 - Governance & Scope","P1-01","Entity & CRUD ResearchProject","Buat entity + module/controller/service/DTO mengikuti pola modul yang sudah ada. Field: id, organizationId, title, description, institution, principalResearcher, supervisor, startAt, endAt, status, ethicsApprovalNumber.","CRUD berjalan, hanya mengembalikan/menerima data milik organizationId dari JWT pemanggil (tenant isolation terverifikasi lewat test).","",""
"Epic 1 - Governance & Scope","P1-02","Entity & endpoint AuthorizationRecord + upload dokumen","Field: id, researchProjectId, assetOwner, authorizedBy, documentPath, documentHash, validFrom, validUntil, approvedTargets, prohibitedActions, status. Endpoint upload menghitung SHA-256 dokumen.","Upload tanpa researchProjectId valid ditolak. documentHash tersimpan dan cocok dengan file yang diupload.","P1-01",""
"Epic 1 - Governance & Scope","P1-03","Entity & CRUD ScopeAsset","Field: id, authorizationId, type, value, normalizedValue, activeTestingAllowed, notes. Nested di bawah satu AuthorizationRecord.","normalizedValue konsisten (lowercase/trim). CRUD tervalidasi tenant sama dengan AuthorizationRecord induk.","P1-02",""
"Epic 1 - Governance & Scope","P1-04","ScopeEnforcementService.isTargetInScope()","Service reusable dipanggil semua modul lain. Signature: isTargetInScope(authorizationId, targetType, targetValue).","Mengembalikan true hanya bila authorization APPROVED, dalam periode valid, dan target cocok ScopeAsset.","P1-03",""
"Epic 1 - Governance & Scope","P1-05","Unit test ScopeEnforcementService","Kasus: cocok, tidak cocok, expired, belum approved.","4 kasus lulus; coverage service >=90%.","P1-04",""
"Epic 1 - Governance & Scope","P1-06","E2E test GOV-01-04 (GATE WAJIB)","Skenario: tanpa izin, izin kedaluwarsa, domain luar scope, IP luar allowlist.","Semua 4 skenario ditolak sesuai ekspektasi. Harus Done sebelum Epic 3 dimulai.","P1-04","GOV-01;GOV-02;GOV-03;GOV-04"
"Epic 1 - Governance & Scope","P1-07","RBAC & tenant isolation modul baru","Terapkan guard JWT + role yang sudah ada ke seluruh endpoint Epic 1.","Tanpa token ditolak; role tidak berwenang 403; cross-tenant read ditolak.","P1-01;P1-02;P1-03","TEN-01"
"Epic 2 - OSINT","P2-01","Scaffold apps/security-worker + queue","Aplikasi terpisah dari apps/api, terhubung Redis lewat BullMQ.","Worker & API bertukar job lewat queue, bukan HTTP langsung.","P1-07",""
"Epic 2 - OSINT","P2-02","tool-adapters/theharvester wrapper","Bungkus subprocess theHarvester -d <domain> -b <sources> -f <output.json>.","Subprocess berjalan terisolasi; output ditulis ke file terstruktur.","P2-01",""
"Epic 2 - OSINT","P2-03","Validasi domain, larangan wildcard, source allowlist","Panggil isTargetInScope; validasi regex domain; tolak wildcard tanpa izin; sumber data dari allowlist tetap di kode.","Request out-of-scope/invalid/source di luar allowlist ditolak sebelum job dijalankan.","P2-02;P1-04","OSINT-02"
"Epic 2 - OSINT","P2-04","Timeout, resource limit, rate limit","Timeout proses, resource limit container, rate limit per researchProjectId per jam.","Job melebihi timeout dihentikan otomatis; rate limit ditegakkan.","P2-02",""
"Epic 2 - OSINT","P2-05","Parsing output ke entities OSINT","Entities: DiscoveredDomain/Host/Ip/Email, OsintSource, OsintEvidence (sha256), OsintFinding.","Data terstruktur; OsintEvidence.sha256 cocok file tersimpan.","P2-03",""
"Epic 2 - OSINT","P2-06","Redaksi PII DiscoveredEmail","Endpoint laporan publik tidak menampilkan email asli.","Akses publik teredaksi; akses Rahasia melihat asli.","P2-05",""
"Epic 2 - OSINT","P2-07","Secret management API key OSINT","Kredensial sumber data di environment secret worker, bukan DB.","Scan repo/DB tidak menemukan API key plain text.","P2-01",""
"Epic 2 - OSINT","P2-08","Test OSINT-01, OSINT-02","Domain lab valid -> job berjalan; sumber tidak disetujui -> ditolak.","Kedua skenario lulus.","P2-03;P2-05","OSINT-01;OSINT-02"
"Epic 3 - Metasploit","P3-01","Deploy msfrpcd jaringan Docker terisolasi","msfrpcd di network terpisah dari api/web produksi.","Tidak reachable dari network produksi; hanya security-worker menjangkau.","P2-01",""
"Epic 3 - Metasploit","P3-02","Metasploit adapter (auth + client)","Library RPC teruji, permanent token dari environment secret worker.","Tidak ada endpoint menerima kredensial msfrpcd dari request.","P3-01",""
